ORGANIZATION,NODE_NAME,LATITUDE,LONGITUDE,CITY,STATE,COUNTRY,SOURCE,ASOF_DATE
SFR SA,SFR Netcenter Lyon-Venissieux,45.7700085643,4.83003047549,Lyon,Rhône-Alpes,FR,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Frankfurt (FRA1-15),50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
ITENOS GmbH,ITENOS Frankfurt (FRA1),50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix FR5 - Frankfurt, KleyerStrasse",50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Amsterdam Science Park Campus (AMS17),52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix AM7 - Amsterdam, Kuiperberweg",52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
Global Switch,Global Switch Amsterdam,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Amsterdam Schiphol Campus (AMS3, AMS5, AMS6, AMS7, AMS8, AMS10)",52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
University of Vienna,Vienna University Computer Center (Wien),48.2000152782,16.3666389554,Vienna,Wien,AT,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Vienna (VIE1, VIE2)",48.2000152782,16.3666389554,Vienna,Wien,AT,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Brussels (BRU1),50.8333170767,4.3333166083,Brussels,Brussels,BE,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix DA3 - Dallas,32.8200238231,-96.8400169289,Dallas,Texas,US,PeeringDB,2021-12-31
The Westin Building,Westin Building Seattle,47.5700020539,-122.339984987,Seattle,Washington,US,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix PA7 - Paris, Energy Park",48.8666929312,2.33333532574,Paris,Île-de-France,FR,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix PA5 - Paris, Victor Hugo",48.8666929312,2.33333532574,Paris,Île-de-France,FR,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix FR7 - Frankfurt, Gutleutstrasse",50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Paris 2 (Aubervilliers),48.8666929312,2.33333532574,Paris,Île-de-France,FR,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix MA1 - Manchester, Williams/Kilburn",53.5004152619,-2.24798710266,Manchester,Manchester,GB,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix MA2 - Manchester, Reynolds House",53.5004152619,-2.24798710266,Manchester,Manchester,GB,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion London (Sovereign House North),51.4999947297,-0.11672184386,London,Westminster,GB,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix AM8 - Amsterdam, Gyroscoopweg",52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Zurich / Glattbrugg,47.3799878124,8.55001013046,Zürich,Zürich,CH,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix ZH1 - No longer operational,47.3799878124,8.55001013046,Zürich,Zürich,CH,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix ZH2 - Zurich,47.3799878124,8.55001013046,Zürich,Zürich,CH,PeeringDB,2021-12-31
KDWEB,KDWEB San Jose,37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix SV17 - Silicon Valley, Santa Clara",37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix SE2/SE3 - Seattle,47.5700020539,-122.339984987,Seattle,Washington,US,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix DC7 - Ashburn, Vienna",38.8204327586,-77.0999815284,Alexandria,Virginia,US,PeeringDB,2021-12-31
Colt Technology Services Group,COLT DC London,51.8803591096,-0.42001082498,Luton,Luton,GB,PeeringDB,2021-12-31
AtlasEdge Data Centres,AtlasEdge DC Milan,45.4699751984,9.20500890976,Milan,Lombardia,IT,PeeringDB,2021-12-31
LAN Services AG,LAN Services AG - Communication Center cc.ch,47.1665899852,7.25003779972,Biel,Bern,CH,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix LA2 - Los Angeles,33.9899782502,-118.179980511,Los Angeles,California,US,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix LA5 - Los Angeles,NULL,NULL,NULL,NULL,NULL,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Amsterdam Science Park Campus (AMS9),52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Dusseldorf (DUS1, DUS2)",51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,PeeringDB,2021-12-31
Telehouse - Global Data Centers,Telehouse - Frankfurt,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
EdgeConneX,EdgeConneX Munich (EDCMUC01),48.129942036,11.5749934475,Munich,Bayern,DE,PeeringDB,2021-12-31
BIT BV,BIT Datacenter Ede I,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,PeeringDB,2021-12-31
ColoCenter FrankfurtRheinMain GmbH,ColoCenter Frankfurt,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Paris (Le Capitole),48.8004695832,2.13334753277,Versailles,Île-de-France,FR,PeeringDB,2021-12-31
TAS France,TAS Sophia,43.7150177196,7.26502396509,Nice,Provence-Alpes-Côte-d''Azur,FR,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix EN1 - Enschede,51.4499977815,7.01661535506,Essen,Nordrhein-Westfalen,DE,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Frankfurt (Lyoner Strasse),50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
Digital Realty,Digital Realty NYC (32 AofA),40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2021-12-31
Asociación ESpanix,Espanix Datacenter,40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix BA1 - Barcelona,41.3832995799,2.18337031923,Barcelona,Cataluña,ES,PeeringDB,2021-12-31
Digital Realty,Digital Realty ATL (56 Marietta),33.830013854,-84.3999493833,Atlanta,Georgia,US,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix LS1 - Lisbon,38.7227228779,-9.14486630549,Lisbon,Lisboa,PT,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix MD2 - Madrid,40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,PeeringDB,2021-12-31
Industrielle Werke Basel Telecom,IWB Basel,47.5803890168,7.59001704777,Basel,Basel-Stadt,CH,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Madrid (MAD1, MAD2)",40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix SY1/SY2 - Sydney,-33.9200109672,151.185179809,Sydney,New South Wales,AU,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix FR1 - Frankfurt, City",50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Brussels,50.8333170767,4.3333166083,Brussels,Brussels,BE,PeeringDB,2021-12-31
CSUC,CSUC Campus Nord,41.3832995799,2.18337031923,Barcelona,Cataluña,ES,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix GV1 - Geneva, City",46.2100075471,6.14002803409,Geneva,Genève,CH,PeeringDB,2021-12-31
KDDI,KDDI Otemachi (Telehouse Tokyo Otemachi),35.6850169058,139.751407429,Tokyo,Tokyo,JP,PeeringDB,2021-12-31
KINX Inc.,KINX Dogok,37.5663490998,126.999730997,Seoul,Seoul,KR,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix DC8 - Ashburn, Vienna",38.8204327586,-77.0999815284,Alexandria,Virginia,US,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix PH1 - Philadelphia,39.9999731639,-75.1699959734,Philadelphia,Pennsylvania,US,PeeringDB,2021-12-31
"Evocative, Inc.",Evocative San Jose (SV7),37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Copenhagen,55.6785641904,12.5634857473,København,Hovedstaden,DK,PeeringDB,2021-12-31
Miami Data Vault,Miami Data Vault,25.7876106964,-80.2241060808,Miami,Florida,US,PeeringDB,2021-12-31
OJSC MMTS 9,Moscow M9,55.7521641226,37.6155228259,Moscow,Moskva,RU,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Duesseldorf,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,PeeringDB,2021-12-31
Telnet,Telnet Caldera Milan,45.4699751984,9.20500890976,Milan,Lombardia,IT,PeeringDB,2021-12-31
Speedbone GmbH,Speedbone Berlin,52.5218186636,13.4015486233,Berlin,Berlin,DE,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix SK1 - Stockholm, Bromma",59.3507599543,18.0973347328,Stockholm,Stockholm,SE,PeeringDB,2021-12-31
NTS Workspace AG,colobern.ch Bern,46.9166827587,7.46697546248,Bern,Bern,CH,PeeringDB,2021-12-31
GlobalConnect Group,GlobalConnect Taastrup 1 (CPH1),55.6499739778,12.083334512,Roskilde,Sjaælland,DK,PeeringDB,2021-12-31
PIPE Networks,PIPE Networks Brisbane,-27.4550309054,153.035092732,Brisbane,Queensland,AU,PeeringDB,2021-12-31
PIPE Networks,PIPE Networks Sydney,-33.9200109672,151.185179809,Sydney,New South Wales,AU,PeeringDB,2021-12-31
PIPE Networks,PIPE Networks Melbourne,-37.8200313123,144.975016235,Melbourne,Victoria,AU,PeeringDB,2021-12-31
PIPE Networks,PIPE Networks Adelaide,-34.9349877739,138.600004841,Adelaide,South Australia,AU,PeeringDB,2021-12-31
PIPE Networks,PIPE Networks Hobart,-42.8500085259,147.295029662,Hobart,Tasmania,AU,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix DB1 - Dublin, CityWest",53.333061136,-6.24890568178,Dublin,Dublin,IE,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix SP4 - São Paulo,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,PeeringDB,2021-12-31
"Verizon Communications, Inc.",Verizon Madrid,40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,PeeringDB,2021-12-31
Polaris Realty,Harbour Centre Vancouver,49.2734165841,-123.121644218,Vancouver,British Columbia,CA,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix TY1 - Tokyo,35.5299876089,139.705001993,Kawasaki,Kanagawa,JP,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix HK1 - Hong Kong,22.304980895,114.185009317,Hong Kong,,HK,PeeringDB,2021-12-31
Digital Realty,Digital Realty PHX (120 E Van Buren),33.5399798778,-112.069991701,Phoenix,Arizona,US,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Sunnyvale,37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Dublin (DUB1 & DUB2),53.333061136,-6.24890568178,Dublin,Dublin,IE,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix DB2 - Dublin, Kilcarbery",53.333061136,-6.24890568178,Dublin,Dublin,IE,PeeringDB,2021-12-31
"Equinix, Inc.",Equinix MD1 - Madrid,40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,Interxion Dublin (Blanchardstown),53.333061136,-6.24890568178,Dublin,Dublin,IE,PeeringDB,2021-12-31
Global Switch,Global Switch Paris,48.8666929312,2.33333532574,Paris,Île-de-France,FR,PeeringDB,2021-12-31
Printer''s Square,Printer''s Square Chicago (600 S Federal),41.8299906607,-87.7500549741,Chicago,Illinois,US,PeeringDB,2021-12-31
IP Exchange GmbH,Colocation Nuremberg,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,PeeringDB,2021-12-31
Lifeline Data Centers,Lifeline Henry Street,39.7499884227,-86.1700480568,Indianapolis,Indiana,US,PeeringDB,2021-12-31
Versatel,Versatel Gent (Handelsdok Center),51.029997578,3.70002193057,Gent,East Flanders,BE,PeeringDB,2021-12-31
FiberNet Telecom Group,FiberNet Telecom Group - 60 Hudson St,40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2021-12-31
FiberNet Telecom Group,FiberNet Telecom Group New York (111 Eighth Ave),40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2021-12-31
LCL Belgium,LCL Antwerp,51.2203735546,4.41501704776,Antwerpen,Antwerp,BE,PeeringDB,2021-12-31
Versatel,Versatel Antwerp,51.2203735546,4.41501704776,Antwerpen,Antwerp,BE,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Munich,48.129942036,11.5749934475,Munich,Bayern,DE,PeeringDB,2021-12-31
LCL Belgium,LCL Brussels (Diegem),50.8333170767,4.3333166083,Brussels,Brussels,BE,PeeringDB,2021-12-31
AAPT (TNZA),AAPT Glebe,-33.9200109672,151.185179809,Sydney,New South Wales,AU,PeeringDB,2021-12-31
Global Switch,Global Switch Sydney,-33.9200109672,151.185179809,Sydney,New South Wales,AU,PeeringDB,2021-12-31
AAPT (TNZA),AAPT Haymarket,-33.9200109672,151.185179809,Sydney,New South Wales,AU,PeeringDB,2021-12-31
AAPT (TNZA),AAPT Brisbane,-27.4550309054,153.035092732,Brisbane,Queensland,AU,PeeringDB,2021-12-31
AAPT (TNZA),AAPT Fortitude Valley,-27.4550309054,153.035092732,Brisbane,Queensland,AU,PeeringDB,2021-12-31
AAPT (TNZA),AAPT Melbourne,-37.8200313123,144.975016235,Melbourne,Victoria,AU,PeeringDB,2021-12-31
AAPT (TNZA),AAPT Adelaide,-34.9349877739,138.600004841,Adelaide,South Australia,AU,PeeringDB,2021-12-31
Treureal Property Management GmbH,Deutschherrnkarree,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,PeeringDB,2021-12-31
AB Stokab,"STOKAB KN5, Södermalm",59.3507599543,18.0973347328,Stockholm,Stockholm,SE,PeeringDB,2021-12-31
AB Stokab,"STOKAB KN6, Hammarby",59.3507599543,18.0973347328,Stockholm,Stockholm,SE,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Stockholm (STO1, STO2, STO3, STO4, STO5 & STO6)",59.3507599543,18.0973347328,Stockholm,Stockholm,SE,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Weehawken,40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2021-12-31
noc@sox.net.sg,Singapore Open Exchange (SOX),1.29303346649,103.855820678,Singapore,,SG,PeeringDB,2021-12-31
TCNPP,Spaanse Kubus Rotterdam,51.919969095,4.47997432315,Rotterdam,Zuid-Holland,NL,PeeringDB,2021-12-31
Unilogic Networks B.V.,Unilogic Networks Datacenter Sittard,50.8529970672,5.67700247661,Maastricht,Limburg,NL,PeeringDB,2021-12-31
CE Colo Czech s.r.o.,CE Colo Prague,50.0833370149,14.4659797757,Prague,Prague,CZ,PeeringDB,2021-12-31
"Radiokomunikace, a.s.",DC Tower Zizkov CRa,50.0833370149,14.4659797757,Prague,Prague,CZ,PeeringDB,2021-12-31
"GTS Novera, a.s.",GTS Telehouse Prague,50.0833370149,14.4659797757,Prague,Prague,CZ,PeeringDB,2021-12-31
"T-Systems Pragonet, a.s.",Pragonet Telehouse Prague,50.0833370149,14.4659797757,Prague,Prague,CZ,PeeringDB,2021-12-31
Telia Carrier,Telia Carrier Dusseldorf DDF/B,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,PeeringDB,2021-12-31
"Markley Group, LLC",Markley Group One Summer Street Boston,42.3299601431,-71.0700136736,Boston,Massachusetts,US,PeeringDB,2021-12-31
BCE,BCE Colocation Luxembourg,49.6116603791,6.13000280623,Luxembourg,Luxembourg,LU,PeeringDB,2021-12-31
Telia Company,Telia Telehouse Copenhagen,55.6785641904,12.5634857473,København,Hovedstaden,DK,PeeringDB,2021-12-31
iAdvantage Ltd.,MEGA-i (iAdvantage Hong Kong),22.304980895,114.185009317,Hong Kong,,HK,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Marseille (MRS1, MRS2, MRS3)",43.289979064,5.37501013044,Marseille,Provence-Alpes-Côte-d''Azur,FR,PeeringDB,2021-12-31
"Equinix, Inc.","Equinix PA1 - Paris, Roissy",48.8666929312,2.33333532574,Paris,Île-de-France,FR,PeeringDB,2021-12-31
"Cogent Communications, Inc.",Cogent Lille,50.6499690949,3.08000809593,Lille,Nord-Pas-de-Calais,FR,PeeringDB,2021-12-31
MULTICOMS FACILITIES MANAGEMENT,Multicoms Paris (Velizy),48.8004695832,2.13334753277,Versailles,Île-de-France,FR,PeeringDB,2021-12-31
SFR SA,SFR Netcenter Bordeaux,44.8500130402,-0.59501306294,Bordeaux,Aquitaine,FR,PeeringDB,2021-12-31
SFR SA,SFR Netcenter Strasbourg,48.5799662466,7.75000728215,Strasbourg,Alsace,FR,PeeringDB,2021-12-31
"Nexus Group, Inc.",Nexus Knoxville Data Center,35.9700124298,-83.9200303566,Knoxville,Tennessee,US,PeeringDB,2021-12-31
Ericsson Broadcast Services Netherlands,Mediagateway,52.1003456819,5.12003861351,Utrecht,Utrecht,NL,PeeringDB,2021-12-31
Interxion - A Digital Realty Company,"Interxion Amsterdam Gyroscoopweg (AMS1, AMS4)",52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
Schuberg Philis B.V.,Schuberg Philis Amsterdam (Schiphol Rijk),52.3804319449,4.62999100609,Haarlem,Noord-Holland,NL,PeeringDB,2021-12-31
NorthC Datacenters,NorthC Oude Meer,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
NorthC Datacenters,NorthC Aalsmeer,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
UNITED COLO GmbH / NGZ-Server.de,UNITED COLO GmbH / NGZ-Server.de Coburg,50.266607482,10.9666068102,Coburg,Bayern,DE,PeeringDB,2021-12-31
Pulsant (Scotland) Ltd,Pulsant Newcastle Central,55.0003753857,-1.59999047994,Newcastle,Tyne and Wear,GB,PeeringDB,2021-12-31
Daisy Communications,ServerBank Manchester,NULL,NULL,NULL,NULL,NULL,PeeringDB,2021-12-31
InterRacks,InterDC Doetinchem,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,PeeringDB,2021-12-31
Looking Glass Networks,Looking Glass Networks NYC Node,40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) London Braham Street,51.4999947297,-0.11672184386,London,Westminster,GB,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Atlanta Courtland,33.830013854,-84.3999493833,Atlanta,Georgia,US,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Chicago Canal,41.8299906607,-87.7500549741,Chicago,Illinois,US,PeeringDB,2021-12-31
"Cogent Communications, Inc.",Cogent Montpellier,NULL,NULL,NULL,NULL,NULL,PeeringDB,2021-12-31
Redcentric PLC,City Lifeline London,51.4999947297,-0.11672184386,London,Westminster,GB,PeeringDB,2021-12-31
"IXNM, INC.",Compass Bank Bldg Albuquerque,NULL,NULL,NULL,NULL,NULL,PeeringDB,2021-12-31
"IXNM, INC.",ServerCondo-219 Albuquerque,35.1049747915,-106.641330812,Albuquerque,New Mexico,US,PeeringDB,2021-12-31
AB Stokab,"STOKAB KN3, Kista",59.3507599543,18.0973347328,Stockholm,Stockholm,SE,PeeringDB,2021-12-31
"Verizon Communications, Inc.",MCI Stockholm (Kista),59.3507599543,18.0973347328,Stockholm,Stockholm,SE,PeeringDB,2021-12-31
KAPPER NETWORK-COMMUNICATIONS GmbH,VIVI Vienna (Wien),48.2000152782,16.3666389554,Vienna,Wien,AT,PeeringDB,2021-12-31
Lumen Technologies Inc,Global Crossing Duesseldorf,51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,PeeringDB,2021-12-31
Lumen Technologies Inc,Level(3) Amsterdam,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2021-12-31
"Cogent Communications, Inc.",Cogent Nice,43.7150177196,7.26502396509,Nice,Provence-Alpes-Côte-d''Azur,FR,PeeringDB,2021-12-31
"Cogent Communications, Inc.",Cogent Antibes,43.7150177196,7.26502396509,Nice,Provence-Alpes-Côte-d''Azur,FR,PeeringDB,2021-12-31
"Cogent Communications, Inc.",Cogent Toulouse,43.6199589224,1.44992671571,Toulouse,Midi-Pyrénées,FR,PeeringDB,2021-12-31
Citynet,Citynet Columbus,39.9799743846,-82.9900096046,Columbus,Ohio,US,PeeringDB,2021-12-31
Citynet,Citynet Pittsburgh,40.4299985952,-79.999985394,Pittsburgh,Pennsylvania,US,PeeringDB,2021-12-31
IPSERV,BUCH-Facility Bucharest,44.4333718049,26.099946654,Bucharest,Bucharest,RO,PeeringDB,2021-12-31
Pulsant (Scotland) Ltd,Pulsant Edinburgh South Gyle,55.9483278596,-3.21909061829,Edinburgh,Edinburgh,GB,PeeringDB,2021-12-31
Citynet,Citynet Indianapolis,39.7499884227,-86.1700480568,Indianapolis,Indiana,US,PeeringDB,2021-12-31
myLoc managed IT AG,"myLoc Datacenter DUS1, DUS2, DUS3, DUS4, DUS6",51.2203735546,6.77998897159,Düsseldorf,Nordrhein-Westfalen,DE,PeeringDB,2021-12-31
1547 Critical Systems Realty,The Pittock,45.5200238231,-122.679990074,Portland,Oregon,US,PeeringDB,2021-12-31
NTT Global Data Centers,NTT Frankfurt 1 Data Center (FRA1),50.0999768261,8.67501542017,Frankfurt,Hessen,DE,PeeringDB,2021-12-31
